indice,T,X
1,0,0
1,2,0.02
1,2.30,0.14
1,2.47,0.24
1,2.6,0.32
1,2.69,0.32
1,2.77,0.44
1,2.84,0.44
1,2.9,0.44
1,2.95,0.5
1,3,0.53
1,3.07,0.57
1,3.14,0.62
1,3.2,0.62
1,3.25,0.65
1,3.30,0.69
1,3.39,0.74
1,3.47,0.77
1,3.54,0.79
1,3.6,0.81
1,3.65,0.84
1,3.69,0.89
1,3.77,0.93
1,3.84,0.95
1,3.9,0.97
1,3.95,1.02
1,4,1.04
1,4.07,1.08
1,4.14,1.11
1,4.2,1.14
1,4.25,1.17
1,4.3,1.2
1,4.39,1.26
1,4.47,1.30
1,4.54,1.34
1,4.6,1.38
2,0,0
2,2,-0.23
2,2.30,-0.04
2,2.47,0.07
2,2.6,0.24
2,2.69,0.3
2,2.77,0.3
2,2.84,0.3
2,2.9,0.3
2,2.95,0.36
2,3,0.41
2,3.07,0.46
2,3.14,0.46
2,3.20,0.5
2,3.25,0.55
2,3.30,0.57
2,3.39,0.62
2,3.47,0.64
2,3.54,0.68
2,3.6,0.69
2,3.65,0.74
2,3.69,0.77
2,3.77,0.79
2,3.84,0.83
2,3.9,0.86
2,3.95,0.88
2,4,0.92
2,4.07,0.94
2,4.14,0.97
2,4.2,1
2,4.25,1.01
2,4.3,1.03
2,4.39,1.1
2,4.47,1.12
2,4.54,1.18
2,4.60,1.25
3,0,0
3,2,-0.06
3,2.3,0.09
3,2.47,0.16
3,2.6,0.24
3,2.69,0.24
3,2.77,0.3
3,2.84,0.3
3,2.90,0.3
3,2.95,0.36
3,3,0.36
3,3.07,0.41
3,3.14,0.44
3,3.20,0.49
3,3.25,0.5
3,3.30,0.5
3,3.39,0.57
3,3.47,0.57
3,3.54,0.6
3,3.6,0.62
3,3.65,0.64
3,3.69,0.66
3,3.77,0.69
3,3.84,0.71
3,3.90,0.76
3,3.95,0.78
3,4,0.79
3,4.07,0.84
3,4.14,0.85
3,4.20,0.88
3,4.25,0.88
3,4.30,0.9
3,4.39,0.94
3,4.47,0.97
3,4.54,1.04
3,4.60,1.14
4,0,0
4,2,-0.22
4,2.30,-0.22
4,2.47,-0.22
4,2.60,-0.04
4,2.69,-0.04
4,2.77,0.07
4,2.84,0.17
4,2.90,0.17
4,2.95,0.17
4,3,0.23
4,3.07,0.32
4,3.14,0.32
4,3.20,0.25
4,3.25,0.32
4,3.30,0.32
4,3.39,0.38
4,3.47,0.43
4,3.54,0.43
4,3.60,0.47
4,3.65,0.47
4,3.69,0.47
4,3.77,0.55
4,3.84,0.55
4,3.90,0.62
4,3.95,0.66
4,4,0.62
4,4.07,0.68
4,4.14,0.7
4,4.20,0.68
4,4.25,0.72
4,4.30,0.76
4,4.39,0.75
4,4.47,0.79
4,4.54,0.9
4,4.6,1.03
5,0,0
5,2,-0.20
5,2.30,-0.19
5,2.47,0.09
5,2.60,0.11
5,2.69,-0.02
5,2.77,0.09
5,2.84,0.19
5,2.90,0.27
5,2.95,0.09
5,3,0.19
5,3.07,0.17
5,3.14,0.19
5,3.20,0.27
5,3.25,0.26
5,3.30,0.34
5,3.39,0.34
5,3.47,0.39
5,3.54,0.34
5,3.60,0.44
5,3.65,0.44
5,3.69,0.44
5,3.77,0.49
5,3.84,0.49
5,3.90,0.49
5,3.95,0.56
5,4,0.64
5,4.07,0.56
5,4.14,0.64
5,4.20,0.64
5,4.25,0.61
5,4.30,0.61
5,4.39,0.67
5,4.47,0.67
5,4.54,0.8
5,4.60,0.97
